batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,4,size,1003.83,13.18,1.39,814.44,1.0000,0,0,0.122671,452.00,-0.331329
2,4,size,598.42,58.82,1.78,281.80,1.0000,0,0,0.222222,493.00,-0.263278
3,4,size,686.61,8.25,1.89,419.14,1.0000,0,0,0.355769,582.00,-0.226231
4,4,size,547.00,8.25,1.26,382.03,1.0000,0,0,0.177778,396.50,-0.218722
5,4,size,538.65,4.75,1.56,381.26,1.0000,0,0,0.111111,444.50,-0.343389
6,4,size,999.98,3.73,1.34,820.65,1.0000,0,0,0.000000,524.50,-0.513000
7,4,size,739.16,5.73,1.33,476.50,1.0000,0,0,0.083333,565.50,-0.478167
8,4,size,714.10,7.24,1.74,275.03,1.0000,0,0,0.000000,625.50,-0.625500
9,4,size,812.77,17.24,2.03,605.91,1.0000,0,0,0.428879,691.50,-0.244621
10,4,size,1170.45,6.74,1.30,738.19,1.0000,0,0,0.058824,669.00,-0.469176
11,4,size,1778.23,23.25,1.58,1089.96,1.0000,0,0,0.000000,578.50,-0.567500
12,4,size,1398.69,16.75,1.74,614.28,1.0000,0,0,0.158556,630.00,-0.457111
13,4,size,686.39,17.76,2.01,541.09,1.0000,0,0,0.330435,654.50,-0.291565
14,4,size,675.93,10.75,2.19,286.56,1.0000,0,0,0.038462,723.50,-0.685038
15,4,size,846.64,15.23,3.21,489.03,1.0000,0,0,0.000000,649.50,-0.649500
16,4,size,741.60,22.25,1.48,380.78,1.0000,0,0,0.093750,502.50,-0.395250
17,4,size,917.85,18.74,1.71,522.15,1.0000,0,0,0.083333,591.50,-0.508167
18,4,size,708.80,6.24,2.42,322.35,1.0000,0,0,0.319328,627.50,-0.290672
19,4,size,488.03,6.25,2.16,175.32,1.0000,0,0,0.333333,665.50,-0.327167
20,4,size,616.24,18.28,1.56,386.62,1.0000,0,0,0.237374,453.00,-0.215626
21,4,size,1400.20,15.25,1.53,453.87,1.0000,0,0,0.154545,537.50,-0.378455
22,4,size,832.69,13.23,1.88,426.35,1.0000,0,0,0.804348,594.50,0.209848
23,4,size,679.64,17.25,1.32,316.37,1.0000,0,0,0.512727,542.50,-0.054273
24,4,size,359.33,12.25,1.57,201.91,1.0000,0,0,0.666667,570.50,0.096167
25,4,size,601.84,33.80,1.82,318.23,1.0000,0,0,0.309524,655.50,-0.306976
26,4,size,406.76,9.73,2.84,277.61,1.0000,0,0,0.366667,517.50,-0.145333
27,4,size,746.38,21.74,1.49,420.57,1.0000,0,0,0.325000,548.50,-0.219000
28,4,size,348.47,13.23,1.75,298.61,1.0000,0,0,0.482143,594.00,-0.111857
29,4,size,905.25,20.26,2.53,642.17,1.0000,0,0,0.227513,673.50,-0.465024
30,4,size,699.01,17.76,7.74,447.93,1.0000,0,0,0.480000,784.00,-0.304000
31,4,size,764.68,5.25,1.36,396.99,1.0000,0,0,0.458128,498.50,-0.035872
32,4,size,769.63,2.73,1.53,414.19,1.0000,0,0,0.181818,552.50,-0.359182
33,4,size,1027.67,11.74,1.50,678.53,1.0000,0,0,0.166667,601.00,-0.372333
34,4,size,1331.02,18.24,1.52,830.10,1.0000,0,0,0.303419,495.00,-0.191581
35,4,size,541.74,19.76,1.73,215.09,1.0000,0,0,0.680000,547.00,0.128500
36,4,size,1316.49,12.24,1.33,497.02,1.0000,0,0,0.330317,547.50,-0.272683
37,4,size,681.91,7.75,1.57,380.96,1.0000,0,0,0.452381,569.00,-0.092619
38,4,size,1580.09,21.26,2.20,818.15,1.0000,0,0,0.321429,617.00,-0.303592
39,4,size,820.04,20.26,1.60,396.60,1.0000,0,0,0.235714,474.00,-0.250286
40,4,size,624.28,2.74,1.69,514.95,1.0000,0,0,0.309524,535.00,-0.215476
41,4,size,482.66,11.25,3.11,356.60,1.0000,0,0,0.515152,606.00,-0.114348
42,4,size,1465.06,25.73,2.16,362.23,1.0000,0,0,0.517544,685.50,-0.167956
43,4,size,594.39,21.25,1.30,500.39,1.0000,0,0,0.052632,374.50,-0.311368
44,4,size,710.22,17.78,1.47,573.89,1.0000,0,0,0.062500,447.00,-0.384500
45,4,size,452.35,27.27,1.86,323.70,1.0000,0,0,0.450000,485.50,-0.005500
46,4,size,547.99,23.26,1.34,328.07,1.0000,0,0,0.410256,439.50,-0.029244
47,4,size,888.94,5.73,1.60,253.10,1.0000,0,0,0.550000,509.50,0.035000
48,4,size,976.50,7.19,1.24,838.73,1.0000,0,0,0.100000,478.00,-0.378000
49,4,size,1168.07,18.74,1.45,371.31,1.0000,0,0,0.109671,454.50,-0.324329
50,4,size,845.14,7.24,1.70,617.94,1.0000,0,0,0.029412,506.00,-0.467088
