batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,4,size,982.14,291.12,2.32,632.57,0.7500,0,1,0.086957,458.00,-0.143043
2,4,size,590.69,77.84,1.59,168.45,0.5000,0,2,0.000000,242.50,-0.020278
3,4,size,557.19,67.27,1.82,237.25,0.5000,0,2,0.120000,296.50,-0.086731
4,4,size,480.21,30.75,1.23,333.70,0.7500,0,1,0.000000,399.00,-0.287889
5,4,size,413.56,143.33,1.44,293.16,1.0000,0,0,0.285714,446.00,-0.167786
6,4,size,964.32,159.92,1.30,116.26,0.2500,0,3,0.000000,0.00,0.000000
7,4,size,524.46,228.54,1.48,289.37,0.7500,0,1,0.000000,579.00,-0.468889
8,4,size,858.38,637.89,1.68,267.43,0.7500,0,1,0.000000,641.00,-0.641000
9,4,size,922.78,88.79,1.95,466.05,0.5000,0,2,0.062261,347.50,-0.130109
10,4,size,1197.86,174.92,1.34,555.36,0.7500,0,1,0.000000,532.00,-0.389143
11,3,time,935.19,251.47,1.15,395.47,0.6667,0,1,0.000000,543.00,-0.543000
12,4,size,1320.64,297.55,1.76,531.41,0.7500,0,1,0.164452,619.50,-0.386120
13,4,size,310.59,312.54,3.38,118.76,0.2500,0,3,0.000000,0.00,0.000000
14,4,size,821.40,48.29,4.71,243.95,1.0000,0,0,0.333333,740.50,-0.411167
15,4,size,826.52,70.79,1.63,131.72,0.2500,0,3,0.000000,0.00,0.000000
16,4,size,823.92,143.84,1.46,226.36,0.5000,0,2,0.000000,243.50,-0.012731
17,4,size,497.02,71.25,3.00,213.25,0.7500,0,1,0.222222,553.00,-0.046278
18,4,size,343.54,123.80,1.91,134.24,0.5000,0,2,0.000000,311.00,-0.144333
19,4,size,504.93,149.33,2.60,134.20,0.5000,0,2,0.000000,347.50,0.000000
20,4,size,658.75,84.28,1.33,401.34,1.0000,0,0,0.455556,459.00,-0.003444
21,4,size,408.64,231.40,7.15,123.88,0.2500,0,3,0.000000,0.00,0.000000
22,4,size,617.50,94.29,2.12,271.41,0.7500,0,1,0.304348,565.50,-0.006152
23,4,size,794.21,153.83,1.24,159.35,0.5000,0,2,0.230769,266.50,0.000000
24,4,size,265.01,133.82,1.44,142.96,0.2500,0,3,0.000000,0.00,0.000000
25,4,size,1861.71,164.85,1.68,142.22,0.2500,0,3,0.000000,0.00,0.000000
26,4,size,334.27,55.75,1.33,190.87,0.5000,0,2,0.166667,248.00,-0.048000
27,4,size,737.31,132.83,1.46,471.07,0.7500,0,1,0.244009,549.50,-0.180315
28,4,size,281.83,337.03,6.83,149.64,0.7500,0,1,0.700000,597.50,0.190000
29,4,size,908.52,297.98,1.96,292.12,0.7500,0,1,0.314286,682.50,-0.234000
30,4,size,478.98,450.66,2.81,325.97,0.7500,0,1,0.192857,734.00,-0.411143
31,4,size,364.25,79.85,4.32,163.56,0.5000,0,2,0.166667,232.50,0.000000
32,4,size,309.10,193.91,4.08,114.65,0.2500,0,3,0.000000,0.00,0.000000
33,4,size,924.52,175.34,6.92,154.49,0.5000,0,2,0.000000,288.50,0.000000
34,4,size,500.87,105.31,3.92,120.44,0.2500,0,3,0.000000,0.00,0.000000
35,4,size,3836.54,164.34,5.02,365.83,0.7500,0,1,0.232308,550.50,-0.032692
36,4,size,141.00,108.80,1.35,133.29,0.2500,0,3,0.082492,0.00,0.082492
37,4,size,692.33,129.87,1.37,382.90,0.7500,0,1,0.277778,572.00,-0.126833
38,4,size,184.91,268.98,1.75,116.75,0.2500,0,3,0.000000,0.00,0.000000
39,4,size,416.27,103.81,1.31,114.54,0.2500,0,3,0.000000,0.00,0.000000
40,4,size,668.98,67.29,1.53,338.43,0.5000,0,2,0.047619,269.00,-0.111105
41,4,size,156.69,87.30,1.85,135.35,0.0000,0,4,0.000000,0.00,0.000000
42,4,size,288.56,102.30,2.08,93.07,0.5000,0,2,0.500000,319.50,0.160500
43,4,size,438.34,110.80,1.30,260.92,0.5000,0,2,0.000000,173.50,-0.173500
44,4,size,614.57,71.81,1.53,143.66,0.5000,0,2,0.130435,209.50,-0.042833
45,4,size,365.16,185.40,1.78,256.76,0.7500,0,1,0.200000,459.00,-0.057000
46,4,size,744.91,147.95,1.15,274.87,0.7500,0,1,0.375000,457.50,0.066833
47,3,time,449.66,285.45,1.15,141.57,0.6667,0,1,0.000000,476.00,0.000000
48,4,size,256.79,132.83,2.92,141.30,0.2500,0,3,0.000000,0.00,0.000000
49,4,size,167.82,194.90,1.36,145.42,0.0000,0,4,0.000000,0.00,0.000000
50,4,size,560.67,196.90,2.30,128.41,0.2500,0,3,0.000000,0.00,0.000000
51,2,final,440.22,54.24,0.80,238.36,0.5000,0,1,0.280000,269.00,0.011000
