batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,2,time,5.47,434.60,1.75,nan,0.0000,1,3
2,2,time,2.95,343.50,0.90,nan,0.0000,0,2
3,4,time,4.89,682.52,1.71,nan,0.0000,0,4
4,3,time,3.60,1487.72,1.25,nan,0.0000,0,3
5,3,time,3.57,1710.96,1.13,nan,0.0000,0,3
6,3,time,3.40,1597.84,1.03,nan,0.0000,0,3
7,3,time,3.11,289.49,0.84,nan,0.0000,0,3
8,3,time,3.22,416.62,0.96,nan,0.0000,0,3
9,3,time,3.31,605.83,1.00,nan,0.0000,0,3
10,2,time,2.63,361.48,0.79,nan,0.0000,0,2
11,2,time,2.59,460.15,0.77,nan,0.0000,0,2
12,4,time,3.69,927.29,1.04,nan,0.0000,0,4
13,2,time,3.16,377.50,0.77,nan,0.0000,1,3
14,2,time,2.67,526.50,0.77,nan,0.0000,0,2
15,4,time,3.99,395.18,1.29,nan,0.0000,0,4
16,2,time,2.79,551.05,0.85,nan,0.0000,0,2
17,3,time,3.40,300.50,1.08,nan,0.0000,0,3
18,3,final,3.13,1293.58,0.93,nan,0.0000,0,3
