batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,3,time,15458.58,442.65,1.47,5356.10,1.0000,2,0
2,2,time,1007.11,717.65,0.76,770.89,1.0000,0,0
3,2,time,1064.35,368.00,1.04,777.67,1.0000,0,0
4,6,time,6232.37,1539.54,1.74,3469.71,1.0000,3,0
5,2,time,6768.68,1118.76,0.71,5840.90,1.0000,0,0
6,3,time,9761.30,1565.71,0.85,1041.73,1.0000,2,0
7,5,time,8670.30,849.04,1.36,1233.35,1.0000,4,0
8,3,time,1063.47,476.65,0.93,1047.41,1.0000,0,0
9,4,time,10297.12,609.33,2.19,5700.29,1.0000,2,0
10,3,time,1052.71,2923.08,1.13,954.65,1.0000,0,0
11,3,time,9836.66,526.66,0.98,974.91,1.0000,2,0
12,2,time,5590.47,535.13,0.75,3250.17,1.0000,1,0
13,2,time,1012.78,434.51,0.70,739.83,1.0000,0,0
14,2,time,995.93,589.68,0.71,750.82,1.0000,0,0
15,3,time,9743.30,327.45,0.95,1130.69,1.0000,2,0
