batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,10,size,1197.70,28.27,5.39,770.69,1.0000,0,0,0.231111,492.50,-0.239960
2,10,size,811.34,42.20,3.66,486.73,1.0000,0,0,0.111111,436.50,-0.290731
3,10,size,994.06,69.70,3.32,739.03,1.0000,0,0,0.052632,562.00,-0.515868
4,10,size,1523.21,37.67,3.96,780.34,1.0000,0,0,0.059524,670.50,-0.565333
5,10,size,2834.14,31.20,4.58,1234.82,1.0000,0,0,0.132411,603.00,-0.511043
6,10,size,1463.28,36.73,4.35,411.23,1.0000,0,0,0.000000,703.00,-0.588000
7,10,size,688.03,109.24,4.30,364.32,1.0000,0,0,0.150000,542.50,-0.368529
8,10,size,2657.58,26.18,4.47,262.88,1.0000,0,0,0.250000,636.00,-0.282500
9,10,size,1418.16,19.68,4.98,551.20,1.0000,0,0,0.512727,560.00,-0.103273
10,10,size,936.58,25.69,13.32,320.10,1.0000,0,0,0.452381,592.50,-0.104119
11,10,size,1533.20,19.26,4.08,347.83,1.0000,0,0,0.348485,542.50,-0.196015
12,10,size,737.78,34.25,5.57,361.65,1.0000,0,0,0.390476,674.00,-0.283706
13,10,size,2399.87,51.24,4.34,586.80,1.0000,0,0,0.309524,567.00,-0.190825
14,10,size,1309.82,41.27,3.72,675.34,1.0000,0,0,0.317308,520.50,-0.159192
15,10,size,1281.27,36.69,4.01,616.39,1.0000,0,0,0.351852,590.00,-0.238148
16,10,size,1573.74,48.79,3.84,601.90,1.0000,0,0,0.164516,509.50,-0.341484
17,10,size,1351.22,59.23,4.50,447.45,1.0000,0,0,0.265152,601.00,-0.236848
18,10,size,1526.01,68.78,3.91,614.79,1.0000,0,0,0.246305,458.50,-0.136552
19,10,size,1889.72,47.69,4.10,449.90,1.0000,0,0,0.340909,478.50,-0.178500
20,10,size,908.75,64.72,3.80,694.22,1.0000,0,0,0.125490,460.00,-0.344259
21,10,size,1406.67,66.16,5.43,569.32,1.0000,0,0,0.039216,614.00,-0.557000
22,10,size,1242.24,40.67,4.10,380.80,1.0000,0,0,0.181818,571.00,-0.339734
23,10,size,1736.48,58.37,5.53,1079.15,1.0000,0,0,0.082784,830.50,-0.686357
24,10,size,1002.97,55.28,4.35,480.94,1.0000,0,0,0.283333,538.00,-0.253753
25,10,size,806.39,81.70,5.81,487.17,1.0000,0,0,0.133333,722.50,-0.578333
26,10,size,3116.34,36.67,3.61,625.07,1.0000,0,0,0.130252,338.00,-0.238829
27,10,size,1966.59,23.21,5.47,463.26,1.0000,0,0,0.000000,477.50,-0.472000
28,10,size,2571.70,55.24,3.88,1225.32,1.0000,0,0,0.232639,566.00,-0.329861
29,10,size,1970.29,25.17,3.37,857.89,1.0000,0,0,0.025000,544.00,-0.473500
30,10,size,1760.76,44.27,3.86,792.29,1.0000,0,0,0.075534,561.50,-0.486276
31,10,size,1117.51,96.78,4.13,463.29,1.0000,0,0,0.181818,375.50,-0.138682
32,10,size,1770.20,48.20,4.33,325.08,1.0000,0,0,0.163462,491.00,-0.358000
33,10,size,1720.35,39.92,4.91,637.17,1.0000,0,0,0.325000,677.50,-0.327000
34,10,size,634.87,64.21,5.34,426.20,1.0000,0,0,0.173611,502.50,-0.344500
35,10,size,916.12,47.23,3.38,413.79,1.0000,0,0,0.085851,353.50,-0.306957
36,10,size,666.44,70.74,4.66,321.78,1.0000,0,0,0.696970,393.50,0.293970
37,10,size,1273.57,75.69,3.63,271.59,1.0000,0,0,0.833333,501.50,0.277714
38,10,size,1088.09,64.71,5.46,606.42,1.0000,0,0,0.195378,593.00,-0.334265
39,10,size,1049.62,41.68,4.55,392.95,1.0000,0,0,0.191667,636.50,-0.286833
40,10,size,1038.71,61.67,5.05,438.95,1.0000,0,0,0.242857,573.00,-0.276143
41,10,size,1902.85,21.67,3.39,346.85,1.0000,0,0,0.170290,675.00,-0.468527
42,10,size,1622.06,113.28,4.81,626.53,1.0000,0,0,0.195489,674.50,-0.494106
43,10,size,1973.25,54.68,3.42,874.12,1.0000,0,0,0.000000,774.50,-0.461000
44,10,size,1184.70,57.72,3.04,378.36,1.0000,0,0,0.377193,359.50,0.012693
45,10,size,1269.17,24.67,4.72,696.86,1.0000,0,0,0.200000,479.50,-0.217000
46,10,size,1524.52,43.18,3.83,484.67,1.0000,0,0,0.166667,485.50,-0.332987
47,10,size,1497.37,30.72,5.23,732.40,1.0000,0,0,0.000000,602.00,-0.581000
48,10,size,1092.43,44.24,3.68,461.73,1.0000,0,0,0.250000,539.00,-0.355500
49,10,size,3414.50,22.25,5.16,628.52,1.0000,0,0,0.260989,713.00,-0.450245
50,10,size,1176.69,30.26,3.49,541.19,1.0000,0,0,0.240909,361.50,-0.091091
51,10,size,1793.18,56.21,4.03,562.64,1.0000,0,0,0.348485,535.50,-0.232015
52,10,size,808.91,42.23,4.38,395.96,1.0000,0,0,0.392857,668.50,-0.332643
53,10,size,957.04,27.18,4.41,544.23,1.0000,0,0,0.300000,654.50,-0.326500
54,10,size,1414.03,37.19,5.87,509.00,1.0000,0,0,0.476467,785.00,-0.277769
55,10,size,810.01,74.22,3.99,408.60,1.0000,0,0,0.392857,357.00,0.017357
56,10,size,805.37,28.22,3.82,370.80,1.0000,0,0,0.128788,470.00,-0.358212
57,10,size,1516.73,18.69,4.62,703.47,1.0000,0,0,0.000000,544.00,-0.523000
58,10,size,777.67,53.20,4.00,541.54,1.0000,0,0,0.126984,651.50,-0.477611
59,10,size,1613.03,76.18,3.15,466.18,1.0000,0,0,0.317544,522.50,-0.213944
60,10,size,1435.14,56.75,4.91,780.86,1.0000,0,0,0.294444,613.50,-0.331556
61,10,size,1501.02,46.18,4.31,660.79,1.0000,0,0,0.267857,745.50,-0.251254
62,10,size,627.66,55.94,3.83,370.04,1.0000,0,0,0.485294,377.00,0.103294
63,10,size,1582.90,37.24,4.32,564.58,1.0000,0,0,0.107955,469.00,-0.330545
64,10,size,1692.46,63.22,4.15,340.01,1.0000,0,0,0.083333,542.00,-0.405667
65,10,size,808.16,98.23,3.65,469.81,1.0000,0,0,0.208333,613.00,-0.357000
66,10,size,874.31,32.15,4.28,456.79,1.0000,0,0,0.366667,512.00,-0.111143
67,10,size,1491.99,25.18,4.00,639.12,1.0000,0,0,0.314286,502.50,-0.257714
68,10,size,992.37,37.74,5.31,320.95,1.0000,0,0,0.153846,672.50,-0.513654
69,10,size,2011.71,85.22,3.92,789.22,1.0000,0,0,0.075714,499.00,-0.425500
70,10,size,1428.70,83.19,3.70,830.29,1.0000,0,0,0.000000,548.00,-0.522500
71,10,size,1016.27,36.69,3.57,641.13,1.0000,0,0,0.286630,636.50,-0.376370
72,10,size,1473.36,51.68,4.26,1072.53,1.0000,0,0,0.037037,545.50,-0.472919
73,10,size,1760.51,95.70,4.39,474.59,1.0000,0,0,0.397436,649.50,-0.149564
74,10,size,1297.88,45.20,4.35,534.98,1.0000,0,0,0.313636,634.50,-0.322864
75,10,size,1300.89,48.21,3.88,547.75,1.0000,0,0,0.290909,506.00,-0.222591
76,10,size,692.14,67.74,5.39,461.81,1.0000,0,0,0.216374,643.50,-0.436432
77,10,size,2456.16,29.74,3.86,743.74,1.0000,0,0,0.453333,487.50,-0.060167
78,10,size,2510.34,127.78,5.73,392.66,1.0000,0,0,0.450000,685.00,-0.197000
79,10,size,1089.93,45.74,4.18,571.54,1.0000,0,0,0.342857,497.50,-0.157143
80,10,size,865.90,81.75,5.23,533.26,1.0000,0,0,0.043478,667.50,-0.591022
81,10,size,1203.57,54.71,4.00,421.79,1.0000,0,0,0.194444,639.00,-0.475152
82,10,size,1206.83,32.18,5.93,501.46,1.0000,0,0,0.342857,852.50,-0.538643
83,10,size,703.34,19.19,3.90,383.38,1.0000,0,0,0.166667,468.50,-0.285682
84,10,size,2714.34,23.72,5.46,434.53,1.0000,0,0,0.146825,646.50,-0.498159
85,10,size,1356.38,37.69,3.88,401.31,1.0000,0,0,0.226190,499.50,-0.275310
86,10,size,1067.65,33.71,6.43,618.42,1.0000,0,0,0.205556,686.50,-0.449944
87,10,size,885.42,61.24,4.32,455.88,1.0000,0,0,0.430769,589.00,-0.109231
88,10,size,2907.29,73.17,3.20,598.55,1.0000,0,0,0.157576,569.50,-0.333855
89,10,size,1308.54,12.16,4.96,870.81,1.0000,0,0,0.261905,635.00,-0.320095
90,10,size,919.52,30.70,3.32,392.49,1.0000,0,0,0.472222,585.50,-0.070111
91,10,size,913.67,30.20,4.71,388.53,1.0000,0,0,0.348485,591.00,-0.235374
92,10,size,1090.89,38.23,3.20,415.96,1.0000,0,0,0.400000,567.50,-0.253500
93,10,size,1453.34,21.19,4.05,389.93,1.0000,0,0,0.333333,549.50,-0.221548
94,10,size,1264.05,37.27,3.96,324.03,1.0000,0,0,0.222222,329.00,-0.119778
95,10,size,824.35,30.71,3.75,461.77,1.0000,0,0,0.159483,504.00,-0.348017
96,10,size,816.77,30.20,5.65,525.89,1.0000,0,0,0.138095,633.50,-0.494905
97,10,size,1139.40,71.78,3.78,344.69,1.0000,0,0,0.245000,381.00,-0.160000
98,10,size,1622.98,18.72,3.61,417.09,1.0000,0,0,0.100000,575.50,-0.476500
99,10,size,1631.13,35.74,5.45,477.28,1.0000,0,0,0.027778,747.50,-0.718722
100,10,size,1052.28,49.24,3.76,547.39,1.0000,0,0,0.276190,493.50,-0.248000
101,10,size,1539.90,45.70,3.53,835.74,1.0000,0,0,0.132267,518.00,-0.393000
102,10,size,1617.99,54.80,5.98,379.73,1.0000,0,0,0.228758,634.50,-0.446242
103,10,size,948.68,36.30,3.67,390.19,1.0000,0,0,0.431818,529.00,-0.182182
104,10,size,3506.82,56.80,3.58,829.47,1.0000,0,0,0.115385,366.50,-0.237213
105,10,size,1432.46,38.25,3.51,476.36,1.0000,0,0,0.154762,434.00,-0.300258
106,10,size,1338.00,44.69,5.07,776.23,1.0000,0,0,0.388664,597.50,-0.183976
107,10,size,1333.45,67.72,3.35,510.46,1.0000,0,0,0.425339,574.50,-0.055201
108,10,size,1533.25,82.78,4.32,661.21,1.0000,0,0,0.312890,479.50,-0.235246
109,10,size,1136.60,83.35,3.87,502.73,1.0000,0,0,0.500000,576.00,-0.061833
110,10,size,701.40,59.25,4.26,212.73,1.0000,0,0,0.400000,436.00,-0.014333
111,10,size,495.79,75.19,3.11,415.13,1.0000,0,0,0.366667,321.00,0.018524
112,10,size,1154.02,69.83,3.18,427.53,1.0000,0,0,0.348485,372.00,-0.010515
113,10,size,993.85,30.20,4.41,294.55,1.0000,0,0,0.583333,493.00,0.043833
114,10,size,777.81,54.80,4.48,461.54,1.0000,0,0,0.229167,577.50,-0.338333
115,10,size,1669.05,48.81,4.54,718.62,1.0000,0,0,0.113369,558.50,-0.472205
116,10,size,1603.88,25.24,5.71,521.96,1.0000,0,0,0.316770,657.00,-0.348230
117,10,size,2654.73,23.71,3.62,446.93,1.0000,0,0,0.449495,564.50,-0.106458
118,10,size,622.55,86.98,4.89,303.64,1.0000,0,0,0.393939,687.50,-0.158370
119,10,size,785.20,25.06,4.02,331.41,1.0000,0,0,0.276190,526.00,-0.275786
120,10,size,1030.92,60.72,6.12,551.74,1.0000,0,0,0.100000,664.00,-0.536500
121,10,size,1136.41,42.78,4.27,408.13,1.0000,0,0,0.333333,573.50,-0.245611
122,10,size,485.58,41.76,4.51,305.33,1.0000,0,0,0.422222,690.50,-0.267056
123,10,size,1150.66,56.29,3.20,607.51,1.0000,0,0,0.157576,567.50,-0.360924
