batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,3,time,790.05,1335.52,1.45,725.03,1.0000,0,0,0.142857,431.00,-0.288143
2,2,time,302.90,352.46,0.89,275.07,1.0000,0,0,0.566667,456.50,0.110167
3,2,time,574.37,830.43,0.88,454.00,1.0000,0,0,0.142857,511.00,-0.368143
4,2,time,893.48,1577.67,2.00,573.12,1.0000,0,0,0.071429,556.50,-0.485071
5,2,time,306.28,463.57,0.93,237.96,1.0000,0,0,0.605769,587.00,0.018769
6,2,time,623.25,402.48,0.71,457.43,1.0000,0,0,0.125000,491.50,-0.366500
7,4,size,550.85,149.38,1.54,463.74,1.0000,0,0,0.000000,416.00,-0.416000
8,2,time,258.11,1381.49,0.78,188.68,1.0000,0,0,0.500000,445.00,0.055000
9,2,time,1281.24,2281.92,0.96,779.25,1.0000,0,0,0.285714,503.00,-0.217286
10,3,time,1030.54,379.51,1.05,794.17,1.0000,0,0,0.000000,542.00,-0.523000
11,2,time,926.18,1231.37,0.84,538.43,1.0000,0,0,0.500000,566.00,-0.066000
12,3,time,520.96,2284.43,1.19,289.47,1.0000,0,0,0.222222,598.00,-0.377778
13,3,time,1312.78,1572.75,1.39,738.33,1.0000,0,0,0.000000,637.00,-0.637000
14,3,time,900.35,2858.00,1.48,754.80,1.0000,0,0,0.468085,686.00,-0.230915
15,2,time,530.89,302.89,0.95,516.40,1.0000,0,0,0.206897,755.50,-0.548603
16,2,time,1189.22,491.57,0.72,737.56,1.0000,0,0,0.222222,671.00,-0.448778
17,2,time,1423.83,1536.16,0.77,943.80,1.0000,0,0,0.162465,537.50,-0.375035
18,3,time,902.68,1646.76,2.81,623.80,1.0000,0,0,0.000000,579.00,-0.579000
19,2,time,1449.12,1910.54,0.95,960.50,1.0000,0,0,0.224490,625.00,-0.400510
20,3,time,696.64,934.05,1.35,410.78,1.0000,0,0,0.260870,623.00,-0.362130
21,2,time,1591.56,288.91,0.99,903.11,1.0000,0,0,0.545455,713.00,-0.167545
22,2,time,803.52,444.51,1.06,499.55,1.0000,0,0,0.333333,730.50,-0.397167
23,3,time,682.15,1966.13,2.19,329.37,1.0000,0,0,0.000000,706.00,-0.704000
24,2,time,403.51,1372.50,1.10,390.72,1.0000,0,0,0.000000,764.00,-0.764000
25,3,time,824.80,564.71,1.02,348.00,1.0000,0,0,0.181818,487.00,-0.259182
26,2,time,283.70,807.40,3.53,250.22,1.0000,0,0,0.000000,510.50,-0.510500
27,3,time,262.68,2078.24,1.33,170.64,1.0000,0,0,1.000000,544.00,0.431000
28,2,time,747.32,945.58,0.93,564.89,1.0000,0,0,0.000000,580.50,-0.580500
29,3,time,1029.49,4225.41,1.45,714.50,1.0000,0,0,0.173913,623.00,-0.477087
30,2,time,216.09,765.92,1.01,199.83,1.0000,0,0,0.200000,656.00,-0.456000
31,4,size,4473.86,84.77,1.63,649.56,1.0000,0,0,0.069740,723.50,-0.549944
32,2,time,160.79,991.11,0.85,147.38,1.0000,0,0,0.900000,452.50,0.447500
33,2,time,1401.20,439.01,0.79,865.98,1.0000,0,0,0.054545,506.50,-0.451955
34,3,time,541.64,1039.30,1.36,511.72,1.0000,0,0,0.285714,537.00,-0.262286
35,3,time,626.29,705.83,1.53,292.17,1.0000,0,0,0.500000,591.00,-0.091000
36,2,time,805.23,898.48,0.92,728.57,1.0000,0,0,0.335238,634.50,-0.299262
37,2,time,360.37,1053.67,0.77,299.55,1.0000,0,0,0.558442,527.00,0.031442
38,2,time,916.28,633.74,0.76,556.53,1.0000,0,0,0.200000,547.00,-0.347000
39,3,time,368.10,1772.05,1.45,254.65,1.0000,0,0,0.333333,580.00,-0.246667
40,2,time,1926.09,612.76,0.87,1163.85,1.0000,0,0,0.394231,689.50,-0.295269
41,3,time,279.75,461.62,1.46,250.83,1.0000,0,0,0.333333,689.00,-0.372667
42,2,time,793.82,796.46,0.80,508.99,1.0000,0,0,0.321429,497.50,-0.176071
43,3,time,416.17,2080.36,1.28,335.22,1.0000,0,0,0.333333,534.00,-0.194667
44,2,time,732.56,1067.66,0.85,426.67,1.0000,0,0,0.625000,532.00,0.093000
45,2,time,350.00,833.46,0.94,276.31,1.0000,0,0,0.611111,583.50,0.027611
46,3,time,890.37,617.77,7.00,207.32,1.0000,0,0,0.400000,672.00,-0.243000
47,3,time,912.44,1486.60,2.24,819.37,1.0000,0,0,0.076923,675.00,-0.672077
48,3,time,586.54,309.44,2.27,492.70,1.0000,0,0,0.560000,698.00,-0.142000
49,4,size,335.34,680.49,4.35,225.44,1.0000,0,0,0.700000,604.50,0.070500
50,2,time,712.15,488.38,0.84,490.14,1.0000,0,0,0.172414,519.00,-0.346586
51,3,time,2390.54,810.01,1.21,380.88,1.0000,0,0,0.363636,566.00,-0.202364
52,3,time,1234.42,1542.66,1.36,946.48,1.0000,0,0,0.000000,629.00,-0.629000
53,2,time,391.57,320.91,3.42,243.92,1.0000,0,0,0.666667,448.50,0.218167
54,2,time,982.77,483.55,0.74,704.49,1.0000,0,0,0.333333,493.50,-0.160167
55,3,time,585.15,645.80,1.47,537.93,1.0000,0,0,0.444444,520.00,-0.044556
56,2,time,242.49,634.74,0.88,173.92,1.0000,0,0,0.622222,556.00,0.066222
57,2,time,1308.62,1117.18,0.71,839.69,1.0000,0,0,0.470588,564.50,-0.093912
