batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors
1,4,size,22.45,128.14,1.61,17.21,1.0000,0,0
2,4,size,13.50,392.05,1.33,10.60,1.0000,0,0
3,4,size,13.25,104.78,1.24,10.49,1.0000,0,0
4,4,size,13.16,14.73,1.23,10.53,1.0000,0,0
5,4,size,13.73,141.31,1.57,10.59,1.0000,0,0
