batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,4,size,988.82,291.12,2.49,690.24,1.0000,0,0,0.130435,458.00,-0.303065
2,4,size,610.68,77.85,1.75,336.88,1.0000,0,0,0.105263,499.50,-0.394237
3,4,size,567.26,67.26,1.86,435.06,1.0000,0,0,0.355769,599.00,-0.256731
4,4,size,505.32,30.75,1.28,357.55,1.0000,0,0,0.111111,399.00,-0.287889
5,4,size,467.99,143.33,1.43,290.59,1.0000,0,0,0.285714,447.50,-0.169286
6,4,size,1315.81,159.86,1.35,1035.59,1.0000,0,0,0.000000,542.00,-0.534500
7,4,size,712.58,228.40,1.41,455.31,1.0000,0,0,0.103448,582.00,-0.468889
8,4,size,854.30,637.82,1.82,264.53,1.0000,0,0,0.000000,641.00,-0.641000
9,4,size,918.56,88.77,1.96,657.48,1.0000,0,0,0.400000,701.50,-0.307000
10,4,size,1207.76,174.85,1.31,534.14,1.0000,0,0,0.142857,637.00,-0.389143
11,3,time,1176.32,251.41,1.15,994.91,1.0000,0,0,0.000000,543.00,-0.543000
12,4,size,1428.77,297.50,1.66,666.82,1.0000,0,0,0.118590,612.50,-0.513077
13,4,size,676.61,312.48,1.85,360.83,1.0000,0,0,0.450000,624.00,-0.178500
14,4,size,342.89,48.25,2.94,231.23,1.0000,0,0,0.333333,731.00,-0.399167
15,4,size,735.57,70.76,1.56,391.12,1.0000,0,0,0.000000,718.50,-0.718500
16,4,size,814.86,143.82,1.50,411.54,1.0000,0,0,0.000000,491.50,-0.489500
17,4,size,514.88,71.31,1.73,242.51,1.0000,0,0,0.597222,553.00,0.068722
18,4,size,1017.05,123.83,1.88,436.57,1.0000,0,0,0.086957,628.00,-0.532043
19,4,size,282.09,149.33,7.41,199.06,1.0000,0,0,0.642857,671.50,-0.020643
20,4,size,1744.50,84.25,1.33,395.01,1.0000,0,0,0.455556,459.00,-0.003444
21,4,size,806.68,231.44,1.65,454.03,1.0000,0,0,0.225000,493.00,-0.280000
22,4,size,614.23,94.27,2.12,375.92,1.0000,0,0,0.437681,565.50,-0.151319
23,4,size,814.25,153.84,1.17,506.21,1.0000,0,0,0.503497,568.00,-0.084516
24,4,size,379.71,133.80,1.43,204.55,1.0000,0,0,0.200000,554.00,-0.342000
25,4,size,1859.63,164.84,1.70,348.71,1.0000,0,0,0.185897,622.00,-0.437333
26,4,size,333.21,55.74,1.30,296.80,1.0000,0,0,0.309524,569.00,-0.271286
27,4,size,1301.91,132.81,1.47,297.54,1.0000,0,0,0.325000,541.50,-0.216500
28,4,size,400.28,337.05,4.25,309.33,1.0000,0,0,0.366667,604.50,-0.246333
29,4,size,878.94,297.97,1.93,467.31,1.0000,0,0,0.381818,675.50,-0.304182
30,4,size,523.94,450.64,2.86,412.17,1.0000,0,0,0.342857,734.50,-0.411143
31,4,size,423.03,79.79,4.21,339.81,1.0000,0,0,0.324561,604.50,-0.303748
32,4,size,962.66,193.88,4.78,523.44,1.0000,0,0,0.166667,532.00,-0.353333
33,4,size,779.80,175.38,5.22,422.99,1.0000,0,0,0.333333,594.50,-0.261167
34,4,size,1297.31,105.35,3.73,455.16,1.0000,0,0,0.111111,461.50,-0.350389
35,4,size,4930.67,164.35,4.01,557.24,1.0000,0,0,0.472308,550.50,-0.052692
36,4,size,1295.30,108.78,1.31,477.20,1.0000,0,0,0.454832,537.50,-0.058882
37,4,size,1227.86,129.82,1.48,596.14,1.0000,0,0,0.277778,572.00,-0.323222
38,4,size,1368.14,268.94,1.75,490.81,1.0000,0,0,0.435185,624.00,-0.188815
39,4,size,676.27,103.79,1.54,456.67,1.0000,0,0,0.141667,457.00,-0.312333
40,4,size,944.59,67.36,1.73,747.50,1.0000,0,0,0.128700,531.00,-0.399705
41,4,size,728.15,87.28,1.95,516.40,1.0000,0,0,0.267857,576.50,-0.305143
42,4,size,1255.46,102.30,3.17,470.08,1.0000,0,0,0.600000,659.00,-0.052000
43,4,size,550.06,110.82,1.31,417.98,1.0000,0,0,0.086957,357.50,-0.266043
44,4,size,691.88,71.84,1.57,520.82,1.0000,0,0,0.151111,419.00,-0.277389
45,4,size,1028.23,185.42,1.74,618.46,1.0000,0,0,0.104412,498.00,-0.393588
46,4,size,781.51,147.84,1.25,287.66,1.0000,0,0,0.666667,458.50,0.175167
47,3,time,520.85,285.46,1.14,227.34,1.0000,0,0,0.500000,476.00,0.029000
48,4,size,881.55,132.80,1.70,310.74,1.0000,0,0,0.327027,525.50,-0.198473
49,4,size,1132.89,194.87,2.17,957.85,1.0000,0,0,0.066206,421.00,-0.358294
50,4,size,902.46,196.87,6.78,525.44,1.0000,0,0,0.000000,465.50,-0.464500
51,2,final,456.19,54.25,3.59,439.76,1.0000,0,0,0.391111,520.00,-0.128889
