batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,3,time,718.95,1335.51,1.44,669.39,1.0000,0,0,0.142857,431.00,-0.288143
2,2,time,318.32,352.49,0.95,283.00,1.0000,0,0,0.566667,456.50,0.110167
3,2,time,571.47,830.41,0.83,452.56,1.0000,0,0,0.142857,511.00,-0.368143
4,2,time,592.44,1577.66,0.86,420.23,1.0000,0,0,0.107143,548.00,-0.440857
5,2,time,390.99,463.55,0.93,282.37,1.0000,0,0,0.605769,588.50,0.017269
6,2,time,627.79,402.48,0.74,462.63,1.0000,0,0,0.125000,491.50,-0.366500
7,4,size,553.46,149.32,1.60,465.74,1.0000,0,0,0.000000,416.00,-0.416000
8,2,time,270.03,1381.47,0.84,200.46,1.0000,0,0,0.500000,445.00,0.055000
9,2,time,1481.29,2281.93,0.95,879.55,1.0000,0,0,0.285714,508.50,-0.222786
10,3,time,1038.57,379.64,1.07,929.60,1.0000,0,0,0.000000,542.00,-0.535000
11,2,time,927.11,1231.36,0.83,536.53,1.0000,0,0,0.500000,566.00,-0.066000
12,3,time,564.23,2284.53,1.42,292.20,1.0000,0,0,0.222222,600.00,-0.377778
13,3,time,1537.32,1572.75,1.47,668.75,1.0000,0,0,0.000000,633.00,-0.633000
14,3,time,1411.24,2858.12,1.70,747.78,1.0000,0,0,0.300000,686.00,-0.425000
15,2,time,537.43,302.94,1.02,523.24,1.0000,0,0,0.206897,755.50,-0.548603
16,2,time,958.87,491.58,0.73,621.87,1.0000,0,0,0.222222,665.00,-0.442778
17,2,time,1181.33,1536.16,0.80,1052.22,1.0000,0,0,0.092221,542.50,-0.450279
18,3,time,934.99,1646.78,1.33,623.96,1.0000,0,0,0.000000,579.00,-0.579000
19,2,time,1565.35,1910.51,0.89,1017.65,1.0000,0,0,0.214286,628.00,-0.413714
20,3,time,698.75,934.07,1.27,413.60,1.0000,0,0,0.260870,623.00,-0.362130
21,2,time,1579.11,288.93,1.04,896.95,1.0000,0,0,0.546512,712.50,-0.165988
22,2,time,703.14,444.51,0.99,449.21,1.0000,0,0,0.333333,728.00,-0.394667
23,3,time,383.56,1966.27,1.82,337.58,1.0000,0,0,0.000000,704.00,-0.704000
24,2,time,410.23,1372.46,1.04,403.09,1.0000,0,0,0.000000,764.50,-0.764500
25,3,time,4990.51,564.68,1.05,857.24,1.0000,0,0,0.035928,496.00,-0.496000
26,2,time,333.74,807.40,3.54,279.93,1.0000,0,0,0.000000,511.50,-0.511500
27,3,time,308.83,2078.23,1.41,188.76,1.0000,0,0,1.000000,544.00,0.431000
28,2,time,783.79,945.53,0.80,574.28,1.0000,0,0,0.000000,581.00,-0.581000
29,3,time,1065.58,4225.38,1.42,717.38,1.0000,0,0,0.170213,623.00,-0.482787
30,2,time,212.82,765.85,1.16,198.49,1.0000,0,0,0.200000,656.00,-0.456000
31,4,size,1004.01,84.75,1.63,662.15,1.0000,0,0,0.118056,723.50,-0.487944
32,2,time,146.09,991.10,0.75,133.00,1.0000,0,0,0.900000,452.50,0.447500
33,2,time,1388.70,439.01,0.81,860.24,1.0000,0,0,0.054545,506.50,-0.451955
34,3,time,541.04,1039.19,1.37,518.54,1.0000,0,0,0.285714,537.00,-0.262286
35,3,time,628.19,705.85,1.38,297.87,1.0000,0,0,0.571429,591.00,-0.019571
36,2,time,794.43,898.48,0.92,722.22,1.0000,0,0,0.335238,634.50,-0.299262
37,2,time,374.91,1053.64,0.79,294.82,1.0000,0,0,0.558442,527.00,0.031442
38,2,time,914.61,633.71,0.72,555.99,1.0000,0,0,0.200000,547.00,-0.347000
39,3,time,363.12,1771.91,1.40,250.18,1.0000,0,0,0.333333,580.00,-0.246667
40,2,time,391.99,612.73,0.89,246.14,1.0000,0,0,0.875000,643.00,0.232000
41,3,time,288.42,461.63,1.50,263.41,1.0000,0,0,0.333333,690.00,-0.372667
42,2,time,746.77,796.39,0.77,485.49,1.0000,0,0,0.326923,496.00,-0.169077
43,3,time,652.84,2080.25,1.26,589.69,1.0000,0,0,0.190476,549.00,-0.349524
44,2,time,749.55,1067.65,0.88,426.05,1.0000,0,0,0.625000,532.00,0.093000
45,2,time,347.03,833.49,0.89,276.44,1.0000,0,0,0.611111,583.50,0.027611
46,3,time,554.76,617.79,3.45,207.68,1.0000,0,0,0.400000,672.00,-0.243000
47,3,time,897.57,1486.68,1.42,375.21,1.0000,0,0,0.285714,675.00,-0.436286
48,3,time,537.49,309.45,2.96,526.71,1.0000,0,0,0.608696,698.00,-0.090304
49,4,size,393.56,680.36,7.32,229.69,1.0000,0,0,0.657895,604.50,0.022346
50,2,time,720.30,488.62,0.86,496.73,1.0000,0,0,0.172414,519.50,-0.347086
51,3,time,2401.11,809.94,1.21,406.28,1.0000,0,0,0.363636,566.00,-0.202364
52,3,time,1271.40,1542.80,1.51,632.58,1.0000,0,0,0.000000,612.00,-0.612000
53,2,time,403.93,320.90,0.81,256.39,1.0000,0,0,0.666667,448.50,0.218167
54,2,time,977.41,483.57,0.76,687.20,1.0000,0,0,0.375000,492.50,-0.117500
55,3,time,588.57,645.94,1.65,530.01,1.0000,0,0,0.444444,519.00,-0.044556
56,2,time,301.27,634.72,1.85,204.75,1.0000,0,0,0.600000,557.50,0.042500
57,2,time,1311.16,1117.20,0.83,840.36,1.0000,0,0,0.470588,564.50,-0.093912
