batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,4,size,826.92,3.25,1.71,768.54,1.0000,0,0,0.154589,421.00,-0.255911
2,4,size,370.86,13.82,1.57,277.82,1.0000,0,0,0.166667,506.00,-0.305833
3,4,size,720.81,5.75,1.90,335.44,1.0000,0,0,0.321678,585.00,-0.239322
4,4,size,345.43,15.75,1.23,325.71,1.0000,0,0,0.222222,394.50,-0.172278
5,4,size,536.53,11.76,1.40,386.90,1.0000,0,0,0.111111,444.50,-0.343389
6,4,size,1150.32,15.24,1.34,1004.75,1.0000,0,0,0.000000,539.00,-0.530500
7,4,size,944.70,4.24,1.28,679.10,1.0000,0,0,0.103448,584.00,-0.472889
8,4,size,1304.83,17.25,1.61,682.46,1.0000,0,0,0.045455,634.00,-0.588545
9,4,size,1078.51,22.25,1.96,704.40,1.0000,0,0,0.370533,697.00,-0.341467
10,4,size,957.93,34.77,1.42,508.24,1.0000,0,0,0.058824,619.50,-0.442176
11,4,size,1695.72,17.24,1.46,938.88,1.0000,0,0,0.000000,562.00,-0.549500
12,4,size,1376.00,2.24,1.81,398.02,1.0000,0,0,0.309524,604.00,-0.278476
13,4,size,1435.39,42.75,3.07,673.55,1.0000,0,0,0.184489,708.50,-0.492511
14,4,size,307.29,7.75,2.32,237.36,1.0000,0,0,0.333333,734.00,-0.364667
15,4,size,874.02,20.25,1.41,589.08,1.0000,0,0,0.000000,651.50,-0.651500
16,4,size,704.58,16.75,1.55,392.29,1.0000,0,0,0.064516,506.00,-0.432984
17,4,size,575.81,22.75,1.83,344.06,1.0000,0,0,0.333333,578.00,-0.220667
18,4,size,306.66,7.23,2.45,246.34,1.0000,0,0,0.366667,631.00,-0.258333
19,4,size,501.66,18.74,2.24,166.64,1.0000,0,0,0.500000,683.50,-0.183500
20,4,size,574.23,11.74,1.28,292.81,1.0000,0,0,0.462500,458.00,0.004500
21,4,size,1420.59,1.74,1.49,449.94,1.0000,0,0,0.197403,550.00,-0.352597
22,4,size,805.62,5.24,1.96,519.33,1.0000,0,0,0.300000,567.50,-0.249500
23,4,size,1037.66,21.25,1.40,592.16,1.0000,0,0,0.503497,550.00,-0.091503
24,4,size,376.29,12.29,1.62,223.13,1.0000,0,0,0.366667,584.50,-0.189333
25,4,size,384.42,27.24,1.84,255.84,1.0000,0,0,0.541667,643.00,-0.131333
26,4,size,784.82,18.74,1.30,345.36,1.0000,0,0,0.333333,507.00,-0.266259
27,4,size,780.22,9.74,6.84,455.70,1.0000,0,0,0.306818,532.00,-0.215682
28,4,size,409.94,9.74,1.79,316.55,1.0000,0,0,0.557143,615.50,-0.077357
29,4,size,436.87,16.75,2.46,353.71,1.0000,0,0,0.342857,705.50,-0.366143
30,4,size,699.86,14.25,5.36,481.44,1.0000,0,0,0.480000,770.00,-0.296452
31,4,size,748.75,16.75,1.37,448.25,1.0000,0,0,0.326260,498.00,-0.169740
32,4,size,1003.20,2.77,1.71,369.37,1.0000,0,0,0.181818,558.00,-0.359182
33,4,size,944.27,28.75,1.46,560.60,1.0000,0,0,0.166667,601.00,-0.372333
34,4,size,1321.70,6.25,1.41,820.22,1.0000,0,0,0.303419,501.00,-0.210581
35,4,size,530.21,24.74,1.70,227.60,1.0000,0,0,0.685714,550.00,0.129714
36,4,size,1270.92,25.28,2.89,521.31,1.0000,0,0,0.314560,527.00,-0.262440
37,4,size,681.14,14.23,1.60,383.35,1.0000,0,0,0.452381,572.00,-0.119619
38,4,size,1010.14,14.75,1.47,704.31,1.0000,0,0,0.246410,621.00,-0.293648
39,4,size,596.14,36.78,1.49,368.45,1.0000,0,0,0.162500,471.50,-0.313500
40,4,size,680.77,8.25,1.69,560.76,1.0000,0,0,0.300752,550.50,-0.219248
41,4,size,721.05,7.24,1.91,584.20,1.0000,0,0,0.225000,604.50,-0.384500
42,4,size,1017.53,10.28,2.14,340.05,1.0000,0,0,0.527027,668.00,-0.146473
43,4,size,571.45,2.76,1.30,492.31,1.0000,0,0,0.086957,357.50,-0.267043
44,4,size,828.46,50.80,6.79,590.62,1.0000,0,0,0.103448,444.50,-0.333389
45,4,size,459.01,29.25,1.83,318.76,1.0000,0,0,0.450000,485.50,-0.005500
46,4,size,429.14,19.76,1.34,317.42,1.0000,0,0,0.326923,430.50,-0.103577
47,4,size,810.67,6.25,1.56,214.40,1.0000,0,0,0.700000,505.00,0.187500
48,4,size,1742.12,4.75,1.31,594.20,1.0000,0,0,0.075472,465.50,-0.435528
49,4,size,376.58,19.29,1.54,283.26,1.0000,0,0,0.330435,433.00,-0.102565
50,4,size,725.69,7.26,1.75,361.23,1.0000,0,0,0.066667,497.50,-0.427333
