batch_id,batch_size,flush_reason,batch_duration_ms,queue_wait_p50_ms,router_p50_ms,chosen_llm_p50_ms,chosen_success_rate,shadow_calls,errors,chosen_task_perf_p50,chosen_total_tokens_p50,chosen_social_welfare_p50
1,4,size,1004.72,291.25,2.51,713.25,1.0000,0,0,0.142512,458.00,-0.289988
2,4,size,459.76,77.83,1.71,307.34,1.0000,0,0,0.142857,497.00,-0.354143
3,4,size,646.65,67.26,1.83,479.39,1.0000,0,0,0.350769,602.50,-0.262231
4,4,size,489.61,30.77,1.21,339.11,1.0000,0,0,0.111111,399.00,-0.287889
5,4,size,468.33,143.31,1.50,289.65,1.0000,0,0,0.285714,447.50,-0.169286
6,4,size,1081.58,159.84,1.38,972.37,1.0000,0,0,0.000000,534.00,-0.526000
7,4,size,717.23,228.41,1.40,439.33,1.0000,0,0,0.103448,581.50,-0.468889
8,4,size,859.93,637.82,1.78,267.16,1.0000,0,0,0.000000,641.00,-0.641000
9,4,size,944.27,88.77,1.95,831.72,1.0000,0,0,0.402549,707.00,-0.304451
10,4,size,1039.78,174.87,2.46,795.20,1.0000,0,0,0.068966,637.00,-0.469534
11,3,time,1710.83,251.39,1.19,943.48,1.0000,0,0,0.000000,571.00,-0.543000
12,4,size,1463.08,297.52,1.71,820.78,1.0000,0,0,0.158556,616.50,-0.473944
13,4,size,675.12,312.51,1.89,355.42,1.0000,0,0,0.450000,624.00,-0.178500
14,4,size,368.37,48.28,5.25,250.37,1.0000,0,0,0.333333,732.00,-0.385667
15,4,size,737.58,70.79,1.65,388.61,1.0000,0,0,0.000000,718.50,-0.718500
16,4,size,7099.90,143.84,1.41,671.01,1.0000,0,0,0.000000,503.00,-0.503000
17,4,size,503.10,71.27,1.84,216.90,1.0000,0,0,0.597222,552.50,0.069222
18,4,size,1015.03,123.84,1.86,446.22,1.0000,0,0,0.086957,628.00,-0.532043
19,4,size,545.06,149.36,7.28,232.20,1.0000,0,0,0.642857,677.00,-0.020643
20,4,size,670.54,84.27,1.27,411.49,1.0000,0,0,0.455556,459.00,-0.003444
21,4,size,812.99,231.45,3.48,461.63,1.0000,0,0,0.225000,493.00,-0.280000
22,4,size,1204.63,94.31,2.12,278.94,1.0000,0,0,0.636364,565.50,0.026864
23,4,size,796.91,153.90,1.25,508.28,1.0000,0,0,0.503497,568.00,-0.084516
24,4,size,387.27,133.82,1.35,203.55,1.0000,0,0,0.200000,554.00,-0.342000
25,4,size,436.15,164.87,1.76,250.49,1.0000,0,0,0.466667,622.00,-0.131333
26,4,size,344.38,55.76,1.33,298.91,1.0000,0,0,0.309524,569.00,-0.271286
27,4,size,637.03,132.83,1.47,314.09,1.0000,0,0,0.430769,541.50,-0.132231
28,4,size,404.90,337.09,2.40,271.71,1.0000,0,0,0.557143,600.50,-0.077357
29,4,size,916.32,298.00,1.91,644.35,1.0000,0,0,0.314286,684.00,-0.380214
30,4,size,633.64,450.66,2.79,419.55,1.0000,0,0,0.342857,734.50,-0.411143
31,4,size,375.64,79.81,4.29,337.93,1.0000,0,0,0.366667,604.50,-0.246605
32,4,size,1516.80,193.87,4.14,523.70,1.0000,0,0,0.182292,532.00,-0.353333
33,4,size,906.80,175.35,4.46,430.11,1.0000,0,0,0.333333,594.50,-0.261167
34,4,size,1290.70,105.29,3.73,456.13,1.0000,0,0,0.111111,461.50,-0.350389
35,4,size,599.96,164.36,4.15,388.75,1.0000,0,0,0.565714,529.50,0.041214
36,4,size,1277.66,108.79,1.15,487.73,1.0000,0,0,0.454832,537.50,-0.058882
37,4,size,720.44,129.83,1.45,445.49,1.0000,0,0,0.277778,572.00,-0.286924
38,4,size,1208.93,268.96,1.74,492.16,1.0000,0,0,0.435185,624.00,-0.188815
39,4,size,758.49,103.81,1.36,552.07,1.0000,0,0,0.138462,456.50,-0.317038
40,4,size,686.82,67.31,1.63,630.58,1.0000,0,0,0.205514,518.50,-0.318939
41,4,size,728.15,87.28,1.88,515.57,1.0000,0,0,0.267857,576.50,-0.305143
42,4,size,1256.41,102.30,3.26,474.50,1.0000,0,0,0.600000,659.00,-0.052000
43,4,size,546.72,110.79,1.24,437.29,1.0000,0,0,0.086957,357.50,-0.267043
44,4,size,532.92,71.76,1.51,519.61,1.0000,0,0,0.126923,420.00,-0.300077
45,4,size,1232.33,185.39,1.90,434.89,1.0000,0,0,0.255556,489.00,-0.256444
46,4,size,746.54,147.85,1.13,336.21,1.0000,0,0,0.564103,457.50,0.070103
47,3,time,458.21,285.43,1.10,230.79,1.0000,0,0,0.500000,476.00,0.029000
48,4,size,867.03,132.83,1.73,313.83,1.0000,0,0,0.327778,525.00,-0.197222
49,4,size,911.17,194.91,2.97,580.44,1.0000,0,0,0.123340,412.50,-0.274660
50,4,size,651.09,196.91,2.91,380.23,1.0000,0,0,0.000000,465.50,-0.464500
51,2,final,671.10,54.26,0.93,568.03,1.0000,0,0,0.302564,527.00,-0.224436
